registration,operator,age_years,variant,delivery_date
SP-LDP,LOT Polish,10,B737-800,2016-05-01
PH-BYK,KLM,5,B737 MAX 8,2021-03-31
OO-JMN,TUI fly,7,B737 MAX 8,2019-03-18
SP-LSO,LOT Polish,10,B737-800,2016-05-01
EI-DMZ,Ryanair,3,B737-800,2022-10-10
TC-SGA,SunExpress,10,B737 MAX 8,2016-05-01
SP-LDH,LOT Polish,10,B737-800,2016-05-01
EI-DRI,Ryanair,9,B737-800,2016-06-19
OO-JJS,TUI fly,5,B737-800,2020-07-10
EI-DKD,Ryanair,4,B737 MAX 8,2022-02-18
EI-DUN,Ryanair,10,B737-800,2016-05-01
TC-SMG,SunExpress,5,B737 MAX 8,2020-09-08
PH-BUK,KLM,9,B737 MAX 8,2017-03-13
SP-EUZ,Enter Air,10,B737-800,2016-05-01
D-AKX,Lufthansa,7,B737 MAX 8,2019-02-19
SP-LCS,LOT Polish,7,B737-800,2018-07-08
EI-DEK,Ryanair,10,B737-800,2016-05-01
EI-DQM,Ryanair,8,B737-800,2017-06-09
SP-LVN,LOT Polish,10,B737-800,2016-05-01
OO-JSY,TUI fly,8,B737 MAX 8,2017-06-13
TC-SHP,SunExpress,8,B737 MAX 8,2018-02-13
EI-DVJ,Ryanair,10,B737-800,2016-05-01
D-AWT,Lufthansa,10,B737 MAX 8,2016-05-01
OO-JEM,TUI fly,10,B737-800,2016-05-01
EI-DZJ,Ryanair,9,B737-800,2016-10-12
EI-DTY,Ryanair,10,B737-800,2016-05-01
OO-JCY,TUI fly,7,B737 MAX 8,2019-03-02
PH-BZZ,KLM,6,B737-800,2019-08-03
SP-LYG,LOT Polish,4,B737-800,2021-12-17
D-AXR,Lufthansa,3,B737 MAX 8,2022-11-12
EI-DXF,Ryanair,10,B737-800,2016-05-01
EI-DUU,Ryanair,10,B737 MAX 8,2016-05-01
OO-JBS,TUI fly,3,B737-800,2022-08-22
D-AME,Lufthansa,6,B737-800,2019-08-16
SP-LYZ,LOT Polish,5,B737 MAX 8,2020-11-02
OK-SDF,Smartwings,3,B737-800,2022-06-12
LN-NLP,Norwegian,2,B737-800,2023-10-05
SP-LQE,LOT Polish,10,B737-800,2016-05-01
EI-DUL,Ryanair,3,B737-800,2023-02-23
PH-BMC,KLM,8,B737 MAX 8,2017-09-25
D-ATU,Lufthansa,4,B737 MAX 8,2022-04-16
EI-DPS,Ryanair,5,B737 MAX 8,2020-10-05
OO-JMP,TUI fly,10,B737-800,2016-05-01
D-ADF,Lufthansa,7,B737-800,2018-12-24
PH-BXH,KLM,4,B737 MAX 8,2022-02-16
D-AAD,Lufthansa,10,B737-800,2016-05-01
D-ASK,Lufthansa,10,B737-800,2016-05-01
LN-NHZ,Norwegian,8,B737-800,2017-09-25
TC-SCA,SunExpress,5,B737 MAX 8,2021-05-21
SP-EQY,Enter Air,10,B737-800,2016-05-01
TC-CAF,Corendon,10,B737-800,2016-05-01
LN-NGQ,Norwegian,10,B737-800,2016-05-01
D-AQQ,Lufthansa,5,B737 MAX 8,2020-10-22
PH-BRO,KLM,10,B737-800,2016-05-01
D-AJP,Lufthansa,10,B737-800,2016-05-01
OO-JIQ,TUI fly,4,B737 MAX 8,2021-05-24
EI-DUG,Ryanair,6,B737 MAX 8,2019-07-10
PH-BKH,KLM,6,B737 MAX 8,2019-07-19
PH-BYZ,KLM,9,B737-800,2016-07-12
SP-EXP,Enter Air,10,B737-800,2016-05-01
